ProductID,Product Name,Category,Customer ,Paper,GSM,Print Size,Ups,Dimension,Ink,Plate No,Coating,Special Effects,Pasting,folding Dim.,Folding ,Construction,Specification,Actual GSM USED,ArtworkCode,Delivery Address,product immage ,ArtworkCDR,ArtworkPDF
164,Magnistin 4.5 MIU Label,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,75,,,65 x 30,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,BDR/MAGNISTIN 4.5 MIU/L/02,"Mepromax Lifesciences Pvt. Ltd., 16‐Pharmacity, Industrial Area, Selaqui, Dehradun‐248197 (Uttarakhand)",,,
165,Magnistin  1 miu Insert,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,15 X 20,4,190 X 240,BLACK,67516.   21/11/24,,,2+2,,Folding ‐  2 vertical + 2 horizontal.,Folding ‐  2 vertical + 2 horizontal.,Printed insert on Maplitho paper.,0,YCBCUDXIN/I1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
166,Magnistin2 MIU Cartons,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,14 x 22,8,51 x 32 x 84,CMYK,,UV Drip,Drip Off,Side Pasting,,,Window UV with special texture.,ITC Saffire board with 4 colour printing.,350,YCBCUCXIN/C1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,Product_Files_/166.ArtworkPDF.111550.pdf
167,Mavibac Cartons,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,14 x 22,8,70 x 35 x 35,,,Aqua,,Side Pasting,,,Window Varnish batch coding.,ITC Saffire board with 4 colour printing.,325,AAAKFAAXIN/C1,"Inject Care Parenterals Pvt. Ltd., Plot No. 130, GIDC Vapi, Silvassa Road, Vapi, Gujarat - 396195",,,
168,Mavibac Inserts,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,18 X 23,8,200 x 120,,,,,3,,Folding 3 Vertical,Folding 3 Vertical,Printed Leaflet on Art Paper,0,AAAKFAAXIN/L1,"Inject Care Parenterals Pvt. Ltd., Plot No. 130, GIDC Vapi, Silvassa Road, Vapi, Gujarat - 396195",,,
169,Mavibac Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,80,,,27 x 75,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,AAAKFAAXIN/I1,"Inject Care Parenterals Pvt. Ltd., Plot No. 130, GIDC Vapi, Silvassa Road, Vapi, Gujarat - 396195",,,
170,Merohope 1g Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,14 x 22,8,37 x 37 x 80,CMYK,19428,Aqua,,Lock Bottom,,,Window Varnish batch coding.,Printed carton on ITC Saffire board with 4 colour printing with Window Aqua Varnish for batch coding.,290,FDNMPAXIN/C1,"Mepromax Lifesciences Pvt. Ltd., 16‐Pharmacity, Industrial Area, Selaqui, Dehradun‐248197 (Uttarakhand)",,,Product_Files_/170.ArtworkPDF.110803.pdf
171,Merohope 1g Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,80,,,40 x 90,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,FDNMPAXIN/L1,"Mepromax Lifesciences Pvt. Ltd., 16‐Pharmacity, Industrial Area, Selaqui, Dehradun‐248197 (Uttarakhand)",,,Product_Files_/171.ArtworkPDF.110816.pdf
172,Merohope 500mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,,,70 x 37 x 37,,,Aqua,,Lock Bottom,,,Window Varnish batch coding.,Printed carton on ITC Saffire board with 4 colour printing with Window Aqua Varnish for batch coding.,290,BDR/MEROHOPE 500MG/C/02,"Mepromax Lifesciences Pvt. Ltd., 16‐Pharmacity, Industrial Area, Selaqui, Dehradun‐248197 (Uttarakhand)",,,Product_Files_/172.ArtworkPDF.110828.pdf
173,Merohope 500mg-1g Insert,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,54,18 X 23,4,200 x 255,BLACK,70422.,,,2+2,,Folding ‐  2 vertical + 2 horizontal.,Folding ‐  2 vertical + 2 horizontal.,Printed insert on Maplitho paper.,54,FDNMPAXIN/I1,"Mepromax Lifesciences Pvt. Ltd., 16‐Pharmacity, Industrial Area, Selaqui, Dehradun‐248197 (Uttarakhand)",,,Product_Files_/173.ArtworkPDF.110843.pdf
174,Micacord Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,15.75 X 20.75,4,95 x 35 x 78,,,Aqua,,Side Pasting,,,Window Varnish batch coding.,Printed carton on ITC Saffire board with 3 special Pantone colour printing.,300,BDR/Micacord 50mg/C/02,"Sovereign Pharma, Survey No.46/1-4, Village Kadaiya, Post : Bhimpore., Nani Daman - 396 210.",,,
175,Micacord Insert,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,15 X 20,4,285 x 180,,,,,2+2,,Folding ‐  2 vertical + 2 horizontal.,Folding ‐  2 vertical + 2 horizontal.,Printed insert on Maplitho paper.,0,BDR/Micacord 50mg/PI/02,"Sovereign Pharma, Survey No.46/1-4, Village Kadaiya, Post : Bhimpore., Nani Daman - 396 210.",,,
176,Micacord Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,75,,,30 x 65,,,Aqua,,,,,Window Varnish batch coding.,Printed Label on Chromo paper with 3 special Pantone colour printing.,0,BDR/Micacord 50 mg/l/02,"Sovereign Pharma, Survey No.46/1-4, Village Kadaiya, Post : Bhimpore., Nani Daman - 396 210.",,,
177,Micazar 50 mg Insert,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,18 X 23,4,285 x 180,,,,,2+2,,Folding ‐  2 vertical + 2 horizontal.,Folding ‐  2 vertical + 2 horizontal.,Printed insert on Maplitho paper.,54,DAXMFBXIN/I1,"Sovereign Pharma, Survey No.46/1-4, Village Kadaiya, Post : Bhimpore., Nani Daman - 396 210.",,,
178,Micazar 50 mg Label,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,75,,,30 x 65,,,Aqua,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,DAXMFBXIN/L1,"Sovereign Pharma, Survey No.46/1-4, Village Kadaiya, Post : Bhimpore., Nani Daman - 396 210.",,,
179,Micazar 50mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,15.75 X 20.75,4,95 x 35 x 78,,,Aqua,Emboss,Side Pasting,,,Window Varnish batch coding with Embossing on Brand Name.,Printed carton on ITC Saffire board with 4 colour printing with Window Aqua Varnish for batch coding.,350,DAXMFBXIN/C1,"Sovereign Pharma, Survey No.46/1-4, Village Kadaiya, Post : Bhimpore., Nani Daman - 396 210.",,,
180,Milifast 100 mg   Inserts,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,15 X 20,4,180 x 250,,,,,,,Folding ‐  2 + 1,Folding ‐  2 + 1,Printed insert on Maplitho paper.,54,WI0MNXIN/I1,"Kamla Lifesciences Ltd (L.L),  G-84/1- Tarapur MIDC, Boisar Palghar - 401506",,,
181,Milifast 100 mg  Cartons,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,18 X 25,8,68 x 100 x 35,,,Aqua,Foil + Emboss,Side Pasting,,,Window Varnish batch coding.,Printed carton on ITC Saffire board with 4 colour printing.,290,WI0MNXIN/C1,"Kamla Lifesciences Ltd (L.L),  G-84/1- Tarapur MIDC, Boisar Palghar - 401506",,,
182,Milifast 100 mg  Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,Cromo,70,,,28 x 63,,,,,,,,Window UV batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,WI0MNXIN/L1,"Kamla Lifesciences Ltd (L.L),  G-84/1- Tarapur MIDC, Boisar Palghar - 401506",,,
183,Miniyum 100 mg  Cartons,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,18 X 25,8,68 x 100 x 35,,,Aqua,Foil + Emboss,Side Pasting,,,Window Varnish batch coding.,Printed carton on ITC Saffire board with 4 colour printing.,290,WBDMNAXIN/C1,"Kamla Lifesciences Ltd (L.L),  G-84/1- Tarapur MIDC, Boisar Palghar - 401506",,,
184,Miniyum 100 mg  Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,Cromo,70,,,28 x 63,,,,,,,,Window UV batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,WBDMNAXIN/L1,"Kamla Lifesciences Ltd (L.L),  G-84/1- Tarapur MIDC, Boisar Palghar - 401506",,,
185,Miniyum 100 mg Leaflet,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,15 X 20,6,240 x 107,,,,,2+1,,Folding ‐  2 + 1,Folding ‐  2 + 1,Printed insert on Maplitho paper.,54,WBDMNAXIN/I1,"Kamla Lifesciences Ltd (L.L),  G-84/1- Tarapur MIDC, Boisar Palghar - 401506",,,
186,Minoact 100 mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,18 X 25,8,100 x 68 x 35,,,UV,Spot UV +emboss,Side Pasting,,,Window varnish  for Batch Coding with UV  spot & Emboss on Brand Name,Printed carton on ITC Saffire board with 4 colour printing with Window Aqua Varnish for batch coding.,300,YENMNAXIN/C1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
187,Minoact 100 mg labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,Cromo,75,,,63 x 28,,,UV,,,,,Window UV for batch coding.,Printed Label on Chromo paper with 4 special Pantone colour printing.,75,YENMNAXIN/L1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
188,Minoact 100MG Leaflets,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,18 X 23,4,180 x 250,,,,,,,Folding ‐  2 + 1,Folding ‐  2 + 1,Printed insert on Maplitho paper.,60,YENMNAXIN/I1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
189,Minogrin 100 mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,18 X 25,8,100 x 35 x 68,CMYK,2160 Vandana,Aqua,Emboss,Side Pasting,,,Window Varnish for Batch Coding with UV Emboss on Brand Name,Printed carton on ITC Saffire board with 4 colour printing with Window Aqua Varnish for batch coding.,340,YGSMNAXIN/C1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
190,Minogrin 100 mg Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,75,,,28 x 63,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,YGSMNAXIN/L1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
191,Minogrin 100 mg Leaflet,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,15 X 20,4,250 x 180,,25803,,,1+2,,Folding ‐  2 + 1,Folding ‐  2 + 1,Printed insert on Maplitho paper.,54,YGSMNAXIN/I1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
192,Minohope 100 mg  Cartons,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,18 X 25,8,68 x 100 x 35,,,Aqua,Foil + Emboss,Side Pasting,,,Window Varnish batch coding.,Printed carton on ITC Saffire board with 4 colour printing.,290,WDNMNAXIN/C1,"Kamla Lifesciences Ltd (L.L),  G-84/1- Tarapur MIDC, Boisar Palghar - 401506",,,
193,Minohope 100 mg  Inserts,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,15 X 20,4,180 x 250,,,,,,,Folding ‐  2 + 1,Folding ‐  2 + 1,Printed insert on Maplitho paper.,54,WDNMNAXIN/I1,"Kamla Lifesciences Ltd (L.L),  G-84/1- Tarapur MIDC, Boisar Palghar - 401506",,,
194,Minohope 100 mg  Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,Cromo,70,,,28 x 63,,,,,,,,Window UV batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,WDNMNAXIN/L1,"Kamla Lifesciences Ltd (L.L),  G-84/1- Tarapur MIDC, Boisar Palghar - 401506",,,
195,MinoQuick Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,18 X 25,8,100 x 68 x 35,,,Textured UV,Emboss,Side Pasting,,,Window UV with special texture with embossing on brand name.,Printed carton on ITC Saffire board with 4 special Pantone colour printing.,340,YF0MNAXIN/C1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
196,MinoQuick Insert,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,15 X 20,4,250 x 180,,,,,2+1,,Folding ‐  2 + 1,Folding ‐  2 + 1,Printed insert on Maplitho paper.,54,YF0MNAXIN/I1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
197,MinoQuick Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,Cromo,80,,,28 x 63,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper with 4 special Pantone colour printing.,0,YF0MNAXIN/L1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
198,Nab - Bantaxel 100 mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,15.75 x 20.75,4,115 x 42 x 83,,,Aqua,,Side Pasting,,,Window Varnish batch coding.,ITC Saffire board with 4 colour printing.,320,SELPCAXIN/C1,"Revacure Lifesciences LLP- LL, Plot No. 58 to 67- Sector B-1, Umariya Dungaria Industrial Area, M.P. AKVN Village- Umariya- Dungaria, Tehsil- Shahpura, District- Jabalpur, 482 003",,,
199,Nab - Bantaxel Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,Cromo,75,,,40 x 90,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,SELPCAXIN/L1,"Revacure Lifesciences LLP- LL, Plot No. 58 to 67- Sector B-1, Umariya Dungaria Industrial Area, M.P. AKVN Village- Umariya- Dungaria, Tehsil- Shahpura, District- Jabalpur, 482 003",,,
200,Nab-Bentaxel inserts,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,54,19 X 25,3,160 x 610,,,,,1X4 (80 X 50 ),,Folding ‐  1 + 4,Folding ‐  1 + 4,Printed insert on Maplitho paper.,54,SELPCAXIN/I1,"Revacure Lifesciences LLP- LL, Plot No. 58 to 67- Sector B-1, Umariya Dungaria Industrial Area, M.P. AKVN Village- Umariya- Dungaria, Tehsil- Shahpura, District- Jabalpur, 482 003",,,
201,Neolapa 250 MG - 30 Tab Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,Yellow,340,11.5 x 18,4,84 x 45 x 45,,,Aqua,,Lock Bottom,,,Window Varnish batch coding.,Printed carton on ITC Cyber board with 3 special Pantone colour printing.,320,BDR/Neolapa 250 mg/C/01,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
202,Neolapa Inserts,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,58,12 x 23,1,500 x 260,,,,,2+2,,Folding ‐  2 vertical + 2 horizontal.,Folding ‐  2 vertical + 2 horizontal.,Printed insert on Maplitho paper.,54,BDR/Neolapa 250 mg/PI/01,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
203,Nextki 100 mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,Yellow,300,15.33 x 18,4,84 x 45 x 45,,,UV,,Side Pasting,,,Window UV for batch coding.,Printed carton on ITC Cyber board with 4 special Pantone colour printing.,290,,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
204,Nextki 70mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,Yellow,300,15.33 x 18,4,84 x 45 x 45,,,UV,,Side Pasting,,,Window UV for batch coding.,Printed carton on ITC Cyber board with 4 special Pantone colour printing.,290,BDR/Next KI 70/C01,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
205,Nextki Insert,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,,3,320 x 160,,,,,,,Folding ‐  1 + 3,Folding ‐  1 + 3,Printed insert on Maplitho paper.,0,BDR/NEXT KI/50/70/100/PI/01,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
206,Nurocol 2 ml Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,Yellow,360,18 X 23,10,90 x 75 x 15,,,Aqua,,Side Pasting,,,Window Varnish batch coding.,Printed carton on ITC Cyber board with 4 special Pantone colour printing.,350,YCECLBXIN/C1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
207,Nurocol 2ml Label,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,70,,,34 x 26,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,YCECLBXIN/L1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
208,Nurocol Inserts,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,15 X 20,8,160 x 120,,,,,1+1,,Folding - 1 Horizontal + 1 Vertical,Folding - 1 Horizontal + 1 Vertical,Printed insert on Maplitho paper.,54,YCECLBXIN/I1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
209,Pomcad 1mg Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,80,,,25 x 100,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,BDR/POMCAD 1MG/L/03,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
210,Pomcad 2 mg Inner Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,,,68 x 42 x 42,,,Aqua,Foil + Emboss,Side Pasting,,,Window Varnish for Batch Coding with UV Emboss on Brand Name,Printed carton on ITC Saffire board with 4 colour printing with Window Aqua Varnish for batch coding.,320,BDR/Pomcad 2mg/C/02,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
211,Pomcad 2 mg Outer Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,,,75 x 172 x 47,,,Aqua,UV Emboss,Lock Bottom,,,Window Varnish for Batch Coding with UV Emboss on Brand Name,Printed carton on ITC Saffire board with 4 colour printing with Window Aqua Varnish for batch coding.,0,BDR/Pomcad 2mg/OC/02,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
212,Pomcad 2mg Inner/outer togather,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,18 x 26,6,x  x,,,Aqua,UV Emboss,Lock Bottom,,,Window Varnish for Batch Coding with UV Emboss on Brand Name,Printed carton on ITC Saffire board with 4 colour printing with Window Aqua Varnish for batch coding.,0,,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
213,Pomcad 2mg Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,80,,,25 x 100,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,BDR/POMCAD 2MG/L/03,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
214,Pomcad 4 mg Inner Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,19 x 25,,68 x 42 x 42,,,Aqua,Foil + Emboss,Side Pasting,,,Window Varnish for Batch Coding with UV Emboss on Brand Name,Printed carton on ITC Saffire board with 4 colour printing with Window Aqua Varnish for batch coding.,320,,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
215,Pomcad 4 mg Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,80,,,25 x 100,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,BDR/POMCAD 4MG/L/03,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
216,Pomcad 4 mg Outer Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,19 x 25,,75 x 172 x 47,,,Aqua,UV Emboss,Lock Bottom,,,Window Varnish for Batch Coding with UV Emboss on Brand Name,Printed carton on ITC Saffire board with 4 colour printing with Window Aqua Varnish for batch coding.,0,,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
217,Redactis 50mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,12.5 x 18,4,100 x 68 x 35,,,Aqua,Foil + Emboss,Lock Bottom,,,"Window Varnish batch coding, Foiling, Emboss on Brand Name.",ITC Saffire board with 4 colour printing.,290,YAKTGAXIN/C1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
218,Redactis 50mg Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,70,,,23 x 62,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,YAKTGAXIN/L1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
219,Redactis Inserts,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,18 X 23,4,200 x 246,,,,,2+2,,Folding ‐  2 vertical + 2 horizontal.,Folding ‐  2 vertical + 2 horizontal.,Printed insert on Maplitho paper.,54,YAKTGAXIN/I1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
220,Rivaflo 20mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,18 X 23,8,35 x 68 x 52,"227, 032, 477, black",,Aqua,,Lock Bottom,,,Window Varnish batch coding.,Printed carton on ITC Saffire board with 4 special Pantone colour printing.,290,YDMRIAXIN/C1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
221,Rivarox 10 Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,18 X 23,8,68 x 52 x 35,,,Aqua,,Lock Bottom,,,Window Varnish batch coding.,Printed carton on ITC Saffire board with 4 colour printing with Window Aqua Varnish for batch coding.,290,YAIRICXIN/C1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
222,Rpigat 10 Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,Yellow,300,15.75 X 20.75,12,23 x 38 x 75,,,UV,Emboss,Side Pasting,,,Window UV batch coding.,Printed carton on ITC Cyber XL board with UV varnish  with 4 special Pantone colour printing.,290,YCJRICXIN/C1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
223,Rucaven 300 mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,Yellow,300,12.5 x 18,4,105 x 51 x 51,,,UV,,Lock Bottom,,,Window UV batch coding.,Printed carton on ITC Cyber board with 5 special Pantone colour printing.,290,NHCRPAXIN/C1,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
224,Rucaven 300 mg Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,75,,,40 x 115,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper with 5 special Pantone colour printing.,0,NHCRPAXIN/L1,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
225,S One Trio 20 Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,320,12.5 x 19,2,50 x 135 x 100,"284, 485, Black",6114,UV,Emboss,Side Pasting,,,Window UV batch coding.,Printed carton on ITC Saffire board with 3 special Pantone colour printing.,320,NBJGOAXIN/C1,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,Product_Files_/225.ArtworkPDF.112639.pdf
226,Strocoz 2 ml Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,Yellow,300,18 X 23,10,90 x 75 x 17,,,UV,,Side Pasting,,,Window UV batch coding.,Printed carton on ITC Cyber board with 4 colour printing.,290,YARCLBXIN/C2,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,Product_Files_/226.ArtworkPDF.112649.pdf
